Team,Name,DraftYr,Position,GamesPlayed,Receptions,Targets,Yards,Avg,Touchdowns,Long,BigPlays,YardsPerGame,Fumble,FumblesLost,YardsAfterCatch,FirstDowns,Year
KC,Dwayne Bowe,#N/A,WR,16,81,141,1159,14,5,52,19,72,1,0,359,57,2011
NO,Marques Colston,#N/A,WR,14,80,107,1143,14,8,50,15,82,1,1,265,55,2011
PIT,Antonio Brown,2010,WR,16,69,123,1108,16,2,79,18,69,0,0,342,57,2011
SD,Vincent Jackson,#N/A,WR,16,60,115,1106,18,9,58,21,69,0,0,224,54,2011
CIN,AJ Green,,WR,15,65,116,1057,16,7,58,19,71,0,0,292,43,2011
TEN,Nate Washington,#N/A,WR,16,74,121,1023,14,7,57,13,64,0,0,331,47,2011
BUF,Stevie Johnson,#N/A,WR,16,76,135,1004,13,7,55,13,63,0,0,325,45,2011
OAK,Darrius Heyward-Bey,2009,WR,15,64,115,975,15,4,58,14,65,1,1,282,44,2011
MIN,Percy Harvin,2008,WR,16,87,123,967,11,6,52,14,60,2,2,537,45,2011
STL,Brandon Lloyd,#N/A,WR,15,70,150,966,14,5,44,15,64,1,0,148,46,2011
PHI,DeSean Jackson,2008,WR,15,58,104,961,17,4,62,15,64,0,0,247,39,2011
IND,Reggie Wayne,#N/A,WR,16,75,131,960,13,4,56,12,60,0,0,276,50,2011
ATL,Julio Jones,2011,WR,13,54,96,959,18,8,80,16,74,1,1,415,34,2011
GB,Greg Jennings,#N/A,WR,13,67,101,949,14,9,79,13,73,0,0,309,43,2011
WSH,Jabar Gaffney,#N/A,WR,16,68,115,947,14,5,45,14,59,1,1,184,50,2011
IND,Pierre Garcon,#N/A,WR,16,70,134,947,14,6,87,9,59,2,2,360,42,2011
DAL,Dez Bryant,2010,WR,15,63,103,928,15,9,50,17,62,1,1,305,48,2011
BAL,Anquan Boldin,#N/A,WR,14,57,105,887,16,3,56,15,63,0,0,245,44,2011
SF,Michael Crabtree,2009,WR,15,72,114,874,12,4,52,12,58,0,0,363,40,2011
PHI,Jeremy Maclin,2008,WR,13,63,97,859,14,5,59,15,66,1,1,266,43,2011
DAL,Laurent Robinson,#N/A,WR,14,54,81,858,16,11,74,12,61,0,0,264,36,2011
SD,Malcom Floyd,#N/A,WR,12,43,70,856,20,5,52,16,71,0,0,193,41,2011
BAL,Torrey Smith,2011,WR,16,50,95,841,17,7,74,14,53,1,0,237,34,2011
SEA,Doug Baldwin,#N/A,WR,16,51,86,788,16,4,55,19,49,0,0,311,40,2011
KC,Steve Breaston,#N/A,WR,16,61,100,785,13,2,43,9,49,0,0,322,39,2011
TB,Mike Williams,2017,WR,16,65,124,771,12,3,42,9,48,2,2,236,41,2011
DET,Nate Burleson,#N/A,WR,16,73,110,757,10,3,47,7,47,1,1,406,36,2011
CHI,Johnny Knox,2009,WR,14,37,69,727,20,2,81,12,52,1,1,156,31,2011
CIN,Jerome Simpson,#N/A,WR,16,50,104,725,15,4,84,10,45,0,0,257,34,2011
CLE,Greg Little,2019,WR,16,61,121,709,12,2,76,6,44,0,0,249,35,2011
NE,Deion Branch,#N/A,WR,15,51,90,702,14,5,63,10,47,0,0,332,37,2011
ARI,Early Doucet,#N/A,WR,16,54,98,689,13,5,70,9,43,1,0,346,35,2011
PHI,Jason Avant,#N/A,WR,16,52,81,679,13,1,35,10,42,2,2,186,33,2011
BUF,David Nelson,#N/A,WR,16,61,98,658,11,5,35,7,41,0,0,210,32,2011
NYJ,Santonio Holmes,#N/A,WR,16,51,102,654,13,8,38,8,41,2,1,193,34,2011
GB,James Jones,#N/A,WR,16,38,55,635,17,7,70,11,40,1,0,285,27,2011
NO,Lance Moore,#N/A,WR,14,52,73,627,12,8,47,9,45,0,0,154,35,2011
NO,Robert Meachem,#N/A,WR,16,40,61,620,16,6,67,9,39,0,0,103,29,2011
OAK,Denarius Moore,2011,WR,13,33,76,618,19,5,78,12,48,0,0,135,26,2011
CAR,Brandon LaFell,2010,WR,16,36,56,613,17,3,91,13,38,0,0,216,23,2011
NYJ,Plaxico Burress,#N/A,WR,16,45,97,612,14,8,30,6,38,0,0,161,38,2011
DEN,Eric Decker,2010,WR,16,44,95,612,14,8,56,9,38,1,1,188,29,2011
DET,Titus Young,2011,WR,16,48,84,607,13,6,57,7,38,1,0,129,33,2011
TEN,Damian Williams,2010,WR,15,45,94,592,13,5,54,7,40,0,0,222,27,2011
ARI,Andre Roberts,2010,WR,16,51,98,586,12,2,45,7,37,1,0,230,29,2011
WSH,Santana Moss,#N/A,WR,12,46,96,584,13,4,49,10,49,0,0,189,35,2011
DAL,Miles Austin,#N/A,WR,10,43,73,579,14,7,53,9,58,0,0,209,31,2011
TB,Preston Parker,2010,WR,16,40,64,554,14,3,51,5,35,0,0,295,25,2011
DEN,Demaryius Thomas,2010,WR,11,32,70,551,17,4,47,9,50,0,0,110,24,2011
MIA,Brian Hartline,2009,WR,16,35,67,549,16,1,41,8,34,0,0,81,30,2011
MIA,Davone Bess,#N/A,WR,16,51,83,537,11,3,41,8,34,2,2,226,25,2011
NYG,Mario Manningham,#N/A,WR,12,39,77,523,13,4,47,4,44,0,0,102,25,2011
CLE,Joshua Cribbs,#N/A,WR,16,41,67,518,13,4,45,10,32,0,0,229,27,2011
IND,Austin Collie,2009,WR,16,54,98,514,10,1,27,6,32,0,0,221,35,2011
HOU,Jacoby Jones,#N/A,WR,16,31,64,512,17,2,80,9,32,0,0,152,23,2011
CHI,Roy Williams,#N/A,WR,15,37,63,507,14,2,25,5,34,0,0,111,29,2011
NO,Devery Henderson,#N/A,WR,16,32,50,503,16,2,79,6,31,1,0,165,22,2011
ATL,Harry Douglas,#N/A,WR,16,39,62,498,13,1,49,10,31,0,0,246,20,2011
HOU,Andre Johnson,#N/A,WR,7,33,51,492,15,2,50,10,70,0,0,133,23,2011
SEA,Sidney Rice,#N/A,WR,9,32,57,484,15,2,52,7,54,0,0,130,19,2011
HOU,Kevin Walter,#N/A,WR,15,39,59,474,12,3,41,7,32,0,0,136,26,2011
TEN,Lavelle Hawkins,#N/A,WR,16,47,76,470,10,1,32,5,29,1,0,198,23,2011
MIN,Devin Aromashodu,#N/A,WR,16,26,84,468,18,1,60,7,29,1,0,117,21,2011
CAR,Legedu Naanee,#N/A,WR,15,44,76,467,11,1,28,5,31,0,0,167,20,2011
MIN,Michael Jenkins,#N/A,WR,11,38,55,466,12,3,72,5,42,2,2,114,23,2011
DEN,Brandon Lloyd,#N/A,WR,16,77,153,1448,19,11,71,23,91,0,0,198,72,2010
ATL,Roddy White,#N/A,WR,16,115,179,1389,12,10,46,15,87,1,1,350,73,2010
IND,Reggie Wayne,#N/A,WR,16,111,173,1355,12,6,50,13,85,1,1,410,72,2010
GB,Greg Jennings,#N/A,WR,16,76,125,1265,17,12,86,21,79,2,0,415,52,2010
PIT,Mike Wallace,2008,WR,16,60,100,1257,21,10,56,26,79,1,0,364,48,2010
HOU,Andre Johnson,#N/A,WR,13,86,138,1216,14,8,60,18,94,1,0,328,59,2010
KC,Dwayne Bowe,#N/A,WR,16,72,132,1162,16,15,75,19,73,1,0,371,55,2010
ARI,Larry Fitzgerald,#N/A,WR,16,90,174,1137,13,6,41,14,71,0,0,187,59,2010
DET,Calvin Johnson,#N/A,WR,15,77,137,1120,15,12,87,16,75,1,0,329,57,2010
WSH,Santana Moss,#N/A,WR,16,93,146,1115,12,6,56,9,70,3,2,499,61,2010
BUF,Stevie Johnson,#N/A,WR,16,82,143,1073,13,10,45,11,67,1,1,401,61,2010
PHI,DeSean Jackson,#N/A,WR,14,47,97,1056,23,6,91,21,75,2,1,353,33,2010
NYG,Hakeem Nicks,2008,WR,13,79,128,1052,13,11,46,20,81,1,0,297,55,2010
DAL,Miles Austin,#N/A,WR,16,69,119,1041,15,7,69,17,65,1,1,437,50,2010
NO,Marques Colston,#N/A,WR,15,84,133,1023,12,7,43,12,68,0,0,275,57,2010
MIA,Brandon Marshall,2012,WR,14,86,147,1014,12,3,46,9,72,2,1,185,57,2010
CIN,Terrell Owens,#N/A,WR,14,72,139,983,14,9,78,15,70,0,0,269,47,2010
PHI,Jeremy Maclin,2008,WR,16,70,116,964,14,10,83,13,60,1,1,267,45,2010
TB,Mike Williams,2017,WR,16,65,127,964,15,11,58,18,60,3,2,334,44,2010
CHI,Johnny Knox,2009,WR,16,51,100,960,19,5,67,17,60,1,1,243,43,2010
NYG,Mario Manningham,#N/A,WR,16,60,92,944,16,9,92,19,59,1,1,343,32,2010
NYJ,Braylon Edwards,#N/A,WR,16,53,102,904,17,7,74,14,57,1,1,290,40,2010
DEN,Jabar Gaffney,#N/A,WR,16,65,112,875,14,2,50,12,55,1,0,203,42,2010
WSH,Anthony Armstrong,#N/A,WR,15,44,86,871,20,3,76,15,58,1,1,170,32,2010
MIN,Percy Harvin,2008,WR,14,71,110,868,12,5,53,14,62,0,0,400,41,2010
NE,Wes Welker,#N/A,WR,15,86,122,848,10,7,35,6,57,0,0,411,47,2010
BAL,Anquan Boldin,#N/A,WR,16,64,108,837,13,7,61,10,52,1,1,237,43,2010
CIN,Chad Johnson,#N/A,WR,14,67,125,831,12,4,42,8,59,0,0,186,47,2010
MIA,Davone Bess,#N/A,WR,16,79,125,820,10,5,29,8,51,0,0,316,43,2010
JAX,Mike Thomas,2009,WR,16,66,102,820,12,4,50,13,51,0,0,299,38,2010
SEA,Deion BranchNE/,#N/A,WR,15,61,92,818,13,6,79,10,55,1,1,272,43,2010
BAL,Derrick Mason,#N/A,WR,16,61,100,802,13,7,42,9,50,0,0,131,44,2010
IND,Pierre Garcon,#N/A,WR,14,67,119,784,12,6,57,7,56,0,0,254,41,2010
TEN,Kenny Britt,2009,WR,12,42,73,775,19,9,80,12,65,1,1,124,33,2010
NO,Lance Moore,#N/A,WR,16,66,95,763,12,8,80,7,48,1,1,276,40,2010
PIT,Hines Ward,#N/A,WR,16,59,94,755,13,5,43,14,47,1,1,251,35,2010
SEA,Mike Williams,2017,WR,14,65,110,751,12,2,68,8,54,0,0,214,40,2010
NYJ,Santonio Holmes,#N/A,WR,12,52,94,746,14,6,52,11,62,0,0,229,36,2010
SF,Michael Crabtree,2009,WR,16,55,101,741,14,6,60,10,46,0,0,298,40,2010
ARI,Steve Breaston,#N/A,WR,13,47,88,718,15,1,37,15,55,0,0,167,32,2010
SD,Malcom Floyd,#N/A,WR,11,37,77,717,19,6,55,12,65,1,0,118,33,2010
SF,Josh Morgan,#N/A,WR,16,44,80,698,16,2,65,12,44,1,1,275,27,2010
STL,Danny Amendola,#N/A,WR,16,85,123,689,8,3,36,2,43,1,1,374,35,2010
TEN,Nate Washington,#N/A,WR,16,42,94,687,16,6,71,11,43,0,0,115,34,2010
GB,James Jones,#N/A,WR,16,50,87,679,14,5,66,8,42,3,1,301,33,2010
IND,Austin Collie,2009,WR,9,58,71,649,11,8,73,9,72,1,1,296,32,2010
NO,Robert Meachem,#N/A,WR,16,44,66,638,15,5,55,10,40,0,0,129,27,2010
DEN,Eddie Royal,#N/A,WR,16,59,105,627,11,3,41,8,39,1,0,381,32,2010
DET,Nate Burleson,#N/A,WR,14,55,86,625,11,6,58,8,45,2,2,296,32,2010
HOU,Kevin Walter,#N/A,WR,16,51,80,621,12,5,35,8,39,0,0,134,33,2010
STL,Brandon Gibson,2009,WR,14,53,91,620,12,2,41,6,44,0,0,211,33,2010
MIA,Brian Hartline,2009,WR,12,43,73,615,14,1,54,10,51,1,1,221,27,2010
OAK,Louis Murphy,2009,WR,14,41,78,609,15,2,70,10,44,2,1,215,27,2010
CIN,Jordan Shipley,2010,WR,15,52,75,600,12,3,64,7,40,0,0,202,30,2010
GB,Jordy Nelson,#N/A,WR,16,45,64,582,13,2,80,7,36,1,1,257,25,2010
BUF,Lee Evans,#N/A,WR,13,37,82,578,16,4,54,9,45,2,1,127,26,2010
PHI,Jason Avant,#N/A,WR,16,51,76,573,11,1,34,8,36,0,0,187,31,2010
GB,Donald Driver,#N/A,WR,15,51,84,565,11,4,61,6,38,1,1,180,29,2010
HOU,Jacoby Jones,#N/A,WR,15,51,79,562,11,3,47,6,38,1,0,229,31,2010
JAX,Mike Sims-Walker,#N/A,WR,14,43,79,562,13,7,39,11,40,1,1,134,33,2010
CHI,Earl Bennett,#N/A,WR,14,46,70,561,12,3,48,7,40,1,0,212,27,2010
DAL,Dez Bryant,2010,WR,12,45,72,561,13,6,46,8,47,0,0,208,27,2010
CAR,Steve Smith,#N/A,WR,14,46,102,554,12,2,39,7,40,2,2,221,24,2010
DAL,Roy Williams,#N/A,WR,15,37,64,530,14,5,63,11,35,3,2,217,25,2010
NYG,Steve Smith,#N/A,WR,9,48,75,529,11,3,45,4,59,0,0,109,29,2010
SD,Patrick Crayton,#N/A,WR,9,28,42,514,18,1,49,9,57,0,0,220,24,2010
CAR,David Alexander Gettis,#N/A,WR,15,37,67,508,14,3,88,8,34,0,0,163,24,2010
ATL,Michael Jenkins,#N/A,WR,11,41,73,505,12,2,43,6,46,0,0,81,29,2010
SEA,Ben Obomanu,#N/A,WR,15,30,50,494,17,4,87,7,33,0,0,182,17,2010
CLE,Mohamed Massaquoi,2009,WR,15,36,75,483,13,2,41,7,32,1,1,132,24,2010
HOU,Andre Johnson,#N/A,WR,16,101,170,1569,16,9,72,22,98,1,0,532,69,2009
NE,Wes Welker,#N/A,WR,14,123,162,1348,11,4,58,8,96,1,0,709,71,2009
DAL,Miles Austin,#N/A,WR,16,81,125,1320,16,11,60,21,83,1,0,588,59,2009
MIN,Sidney Rice,#N/A,WR,16,83,122,1312,16,8,63,19,82,1,1,358,59,2009
NE,Randy Moss,#N/A,WR,16,83,138,1264,15,13,71,18,79,2,1,340,62,2009
IND,Reggie Wayne,#N/A,WR,16,100,149,1264,13,10,65,20,79,0,0,426,73,2009
PIT,Santonio Holmes,#N/A,WR,16,79,138,1248,16,5,57,21,78,0,0,491,63,2009
NYG,Steve Smith,#N/A,WR,16,107,159,1220,11,7,51,14,76,0,0,237,61,2009
PIT,Hines Ward,#N/A,WR,16,95,136,1167,12,6,54,15,73,2,1,415,56,2009
SD,Vincent Jackson,#N/A,WR,15,68,107,1167,17,9,55,17,78,0,0,222,58,2009
PHI,DeSean Jackson,#N/A,WR,15,62,117,1156,19,9,71,18,77,2,1,406,40,2009
ATL,Roddy White,#N/A,WR,16,85,165,1153,14,11,90,13,72,1,0,371,54,2009
DEN,Brandon Marshall,2012,WR,15,101,154,1120,11,10,75,11,75,0,0,503,56,2009
GB,Greg Jennings,#N/A,WR,16,68,118,1113,16,4,83,16,70,0,0,465,48,2009
ARI,Larry Fitzgerald,#N/A,WR,16,97,153,1092,11,13,34,12,68,0,0,285,69,2009
NO,Marques Colston,#N/A,WR,16,70,106,1074,15,9,68,18,67,2,2,354,54,2009
GB,Donald Driver,#N/A,WR,16,70,112,1061,15,6,71,15,66,2,1,372,49,2009
CIN,Chad Johnson,#N/A,WR,16,72,128,1047,15,9,50,15,65,2,2,232,55,2009
BAL,Derrick Mason,#N/A,WR,16,73,132,1028,14,7,72,9,64,0,0,260,55,2009
ARI,Anquan Boldin,#N/A,WR,15,84,126,1024,12,4,44,10,68,3,2,355,49,2009
DET,Calvin Johnson,#N/A,WR,14,67,136,984,15,5,75,15,70,3,2,334,46,2009
CAR,Steve Smith,#N/A,WR,15,65,130,982,15,7,66,15,66,1,0,315,41,2009
SEA,TJ Houshmandzadeh,#N/A,WR,16,79,135,911,12,3,53,11,57,2,1,271,52,2009
WSH,Santana Moss,#N/A,WR,16,70,121,902,13,3,59,14,56,2,1,382,40,2009
JAX,Mike Sims-Walker,#N/A,WR,15,63,110,869,14,7,61,12,58,2,1,244,43,2009
BUF,Terrell Owens,#N/A,WR,16,55,109,829,15,5,98,9,52,1,0,245,33,2009
NYG,Mario Manningham,#N/A,WR,14,57,99,822,14,5,49,15,59,1,1,256,41,2009
NYJ,Jerricho Cotchery,#N/A,WR,14,57,96,821,14,3,53,13,59,0,0,289,44,2009
SEA,Nate Burleson,#N/A,WR,13,63,103,812,13,3,44,10,63,2,2,274,42,2009
NO,Devery Henderson,#N/A,WR,16,51,83,804,16,2,75,11,50,0,0,283,33,2009
MIN,Percy Harvin,2008,WR,15,60,91,790,13,6,51,12,53,1,0,358,42,2009
NYG,Hakeem Nicks,2008,WR,14,47,75,790,17,6,68,13,56,2,0,411,32,2009
SD,Malcom Floyd,#N/A,WR,16,45,76,776,17,1,53,13,49,0,0,127,36,2009
PHI,Jeremy Maclin,2008,WR,15,56,91,773,14,4,56,11,52,0,0,244,34,2009
IND,Pierre Garcon,#N/A,WR,14,47,91,765,16,4,66,13,55,1,0,285,33,2009
MIA,Davone Bess,#N/A,WR,16,76,113,758,10,2,34,6,47,2,1,309,48,2009
CHI,Devin Hester,#N/A,WR,13,57,91,757,13,3,48,12,58,1,1,286,34,2009
PIT,Mike Wallace,2008,WR,16,39,72,756,19,6,60,14,47,1,1,134,28,2009
DEN,Jabar Gaffney,#N/A,WR,16,54,88,732,14,2,49,12,46,0,0,261,36,2009
SD,Chris Chambers,#N/A,WR,16,45,92,730,16,5,61,11,46,0,0,187,32,2009
JAX,Torry Holt,#N/A,WR,15,51,103,722,14,0,63,6,48,1,1,112,35,2009
NO,Robert Meachem,#N/A,WR,16,45,64,722,16,9,54,12,45,2,1,175,30,2009
CHI,Earl Bennett,#N/A,WR,16,54,88,717,13,2,71,15,45,1,0,319,32,2009
ARI,Steve Breaston,#N/A,WR,15,55,82,712,13,3,45,12,48,0,0,163,33,2009
TEN,Kenny Britt,2009,WR,16,42,75,701,17,3,57,10,44,1,1,176,34,2009
NYJ,Braylon Edwards,#N/A,WR,16,45,95,680,15,4,65,11,43,1,1,188,37,2009
IND,Austin Collie,2009,WR,16,60,90,676,11,7,39,11,42,0,0,248,37,2009
ATL,Michael Jenkins,#N/A,WR,15,50,90,635,13,1,50,12,42,0,0,118,29,2009
SF,Michael Crabtree,2009,WR,11,48,86,625,13,2,50,10,57,1,1,196,27,2009
CLE,Mohamed Massaquoi,2009,WR,16,34,94,624,18,3,59,11,39,1,1,161,24,2009
DAL,Patrick Crayton,#N/A,WR,16,37,67,622,17,5,80,8,39,0,0,267,27,2009
MIN,Bernard Berrian,#N/A,WR,16,55,92,618,11,4,40,5,39,0,0,200,35,2009
BUF,Lee Evans,#N/A,WR,16,44,95,612,14,7,50,10,38,0,0,94,27,2009
HOU,Kevin Walter,#N/A,WR,14,53,70,611,12,2,41,7,44,0,0,117,33,2009
TB,Antonio Bryant,#N/A,WR,13,39,86,600,15,4,42,14,46,0,0,137,25,2009
DAL,Roy Williams,#N/A,WR,15,38,88,596,16,7,66,9,40,1,1,208,29,2009
KC,Dwayne Bowe,#N/A,WR,11,47,87,589,13,4,41,8,54,1,0,166,31,2009
STL,Donnie Avery,#N/A,WR,16,47,97,589,13,5,50,9,37,1,1,261,28,2009
PHI,Jason Avant,#N/A,WR,16,41,60,587,14,3,58,11,37,1,0,200,26,2009
CAR,Muhsin Muhammad,#N/A,WR,14,53,89,581,11,1,27,7,42,0,0,131,32,2009
TEN,Nate Washington,#N/A,WR,16,47,95,569,12,6,35,6,36,1,0,91,34,2009
MIA,Greg Camarillo,#N/A,WR,16,50,71,552,11,0,29,5,35,0,0,112,29,2009
WSH,Antwaan Randle El,#N/A,WR,16,50,75,530,11,0,44,4,33,1,0,199,33,2009
SF,Josh Morgan,#N/A,WR,16,52,81,527,10,3,61,6,33,0,0,240,20,2009
CHI,Johnny Knox,2009,WR,15,45,80,527,12,5,68,7,35,0,0,140,22,2009
OAK,Louis Murphy,2009,WR,16,34,96,521,15,4,75,6,33,0,0,133,26,2009
CIN,Laveranues Coles,#N/A,WR,16,43,77,514,12,5,40,8,32,0,0,188,29,2009
MIA,Brian Hartline,2009,WR,16,31,56,506,16,3,67,7,32,0,0,171,26,2009
BAL,Mark Clayton,#N/A,WR,14,34,74,480,14,2,54,8,34,1,1,80,24,2009
MIA,Ted Ginn ,#N/A,WR,16,38,78,454,12,1,53,3,28,0,0,44,25,2009
JAX,Mike Thomas,2009,WR,14,48,63,453,9,1,28,7,32,0,0,211,28,2009
GB,James Jones,#N/A,WR,16,32,63,440,14,5,74,6,28,0,0,186,16,2009
SEA,Deion Branch,#N/A,WR,14,45,79,437,10,2,35,4,31,0,0,190,17,2009
HOU,Jacoby Jones,#N/A,WR,14,27,40,437,16,6,45,7,31,0,0,138,19,2009
